sample_id,batch,age_week,antigen,sex,replicate,mrna_type,mrna_path,tcr_path,bcr_path,loom_path,notes
CONT_C_1,3W_PBS_HDM,3,HDM,Unknown,,mtx_dir,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/CONT_C_1/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/CONT_C_1/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/CONT_C_1/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/CONT_C_1/loom,
CONT_D_4,3W_PBS_HDM,3,PBS,Unknown,,mtx_dir,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/CONT_D_4/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/CONT_D_4/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/CONT_D_4/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/CONT_D_4/loom,
CONT_D_5,3W_PBS_HDM,3,PBS,Unknown,,mtx_dir,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/CONT_D_5/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/CONT_D_5/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/CONT_D_5/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/CONT_D_5/loom,
LC_1,5W_PBS_HDM_OVA,5,PBS,Unknown,,mtx_dir,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_1/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_1/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_1/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_1/loom,
LC_2,5W_PBS_HDM_OVA,5,PBS,Unknown,,mtx_dir,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_2/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_2/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_2/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_2/loom,
LC_4,5W_PBS_HDM_OVA,5,HDM,Unknown,,mtx_dir,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_4/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_4/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_4/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_4/loom,
LC_5,5W_PBS_HDM_OVA,5,HDM,Unknown,,mtx_dir,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_5/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_5/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_5/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_5/loom,
LC_7,5W_PBS_HDM_OVA,5,OVA,Unknown,,mtx_dir,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_7/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_7/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_7/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_7/loom,
LC_8,5W_PBS_HDM_OVA,5,OVA,Unknown,,mtx_dir,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_8/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_8/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_8/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_8/loom,
OR_A_2,3W_PBS_HDM,3,PBS,Unknown,,mtx_dir,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OR_A_2/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OR_A_2/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OR_A_2/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OR_A_2/loom,
OR_B_1,3W_PBS_HDM,3,HDM,Unknown,,mtx_dir,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OR_B_1/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OR_B_1/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OR_B_1/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OR_B_1/loom,
OR_B_3,3W_PBS_HDM,3,HDM,Unknown,,mtx_dir,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OR_B_3/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OR_B_3/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OR_B_3/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OR_B_3/loom,
OVA_F_1,3W_PBS_OVA,3,OVA,F,,mtx_dir,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OVA_F_1/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OVA_F_1/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OVA_F_1/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OVA_F_1/loom,
OVA_F_3,3W_PBS_OVA,3,OVA,F,,mtx_dir,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OVA_F_3/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OVA_F_3/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OVA_F_3/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OVA_F_3/loom,
OVA_M_3,3W_PBS_OVA,3,OVA,M,,mtx_dir,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OVA_M_3/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OVA_M_3/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OVA_M_3/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OVA_M_3/loom,
PBS_F_1,3W_PBS_OVA,3,PBS,F,,mtx_dir,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/PBS_F_1/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/PBS_F_1/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/PBS_F_1/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/PBS_F_1/loom,
PBS_F_2,3W_PBS_OVA,3,PBS,F,,mtx_dir,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/PBS_F_2/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/PBS_F_2/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/PBS_F_2/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/PBS_F_2/loom,
PBS_M_2,3W_PBS_OVA,3,PBS,M,,mtx_dir,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/PBS_M_2/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/PBS_M_2/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/PBS_M_2/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/PBS_M_2/loom,
