sample_id,mrna_path,tcr_path,bcr_path,loom_path,has_mrna,has_tcr,has_bcr
CONT_C_1,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/CONT_C_1/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/CONT_C_1/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/CONT_C_1/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/CONT_C_1/loom,1,1,1
CONT_D_4,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/CONT_D_4/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/CONT_D_4/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/CONT_D_4/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/CONT_D_4/loom,1,1,1
CONT_D_5,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/CONT_D_5/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/CONT_D_5/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/CONT_D_5/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/CONT_D_5/loom,1,1,1
LC_1,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_1/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_1/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_1/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_1/loom,1,1,1
LC_2,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_2/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_2/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_2/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_2/loom,1,1,1
LC_4,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_4/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_4/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_4/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_4/loom,1,1,1
LC_5,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_5/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_5/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_5/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_5/loom,1,1,1
LC_7,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_7/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_7/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_7/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_7/loom,1,1,1
LC_8,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_8/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_8/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_8/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/LC_8/loom,1,1,1
OR_A_2,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OR_A_2/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OR_A_2/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OR_A_2/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OR_A_2/loom,1,1,1
OR_B_1,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OR_B_1/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OR_B_1/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OR_B_1/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OR_B_1/loom,1,1,1
OR_B_3,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OR_B_3/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OR_B_3/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OR_B_3/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OR_B_3/loom,1,1,1
OVA_F_1,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OVA_F_1/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OVA_F_1/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OVA_F_1/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OVA_F_1/loom,1,1,1
OVA_F_3,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OVA_F_3/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OVA_F_3/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OVA_F_3/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OVA_F_3/loom,1,1,1
OVA_M_3,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OVA_M_3/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OVA_M_3/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OVA_M_3/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/OVA_M_3/loom,1,1,1
PBS_F_1,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/PBS_F_1/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/PBS_F_1/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/PBS_F_1/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/PBS_F_1/loom,1,1,1
PBS_F_2,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/PBS_F_2/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/PBS_F_2/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/PBS_F_2/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/PBS_F_2/loom,1,1,1
PBS_M_2,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/PBS_M_2/mrna,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/PBS_M_2/tcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/PBS_M_2/bcr,/home/carinotus1/课题/202603新生期口服过敏原免疫细胞图谱/data/raw/10x/PBS_M_2/loom,1,1,1
